,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2023-02-21,184.26797196731198,160.86335087008288,205.49931894065287,184.26797196731198,184.26797196731198,-0.7246710724129505,-0.7246710724129505,-0.7246710724129505,-0.7246710724129505,-0.7246710724129505,-0.7246710724129505,0.0,0.0,0.0,183.54330089489903
1,2023-02-22,184.33800200235706,158.21098500346326,207.38000276245413,184.33800200235706,184.33800200235706,-1.6802832519841682,-1.6802832519841682,-1.6802832519841682,-1.6802832519841682,-1.6802832519841682,-1.6802832519841682,0.0,0.0,0.0,182.65771875037288
2,2023-02-23,184.4080320374021,156.77251205501415,204.30626158997316,184.4080320374021,184.4080320374021,-3.339951594050626,-3.339951594050626,-3.339951594050626,-3.339951594050626,-3.339951594050626,-3.339951594050626,0.0,0.0,0.0,181.06808044335148
3,2023-02-24,184.47806207244716,157.92631027056063,205.28260831853643,184.47806207244716,184.47806207244716,-3.140213277936341,-3.140213277936341,-3.140213277936341,-3.140213277936341,-3.140213277936341,-3.140213277936341,0.0,0.0,0.0,181.33784879451082
4,2023-02-27,184.68815217758237,158.23733995875781,205.5255125404226,184.68815217758237,184.68815217758237,-3.5589341468306905,-3.5589341468306905,-3.5589341468306905,-3.5589341468306905,-3.5589341468306905,-3.5589341468306905,0.0,0.0,0.0,181.12921803075167
5,2023-02-28,184.75818221262745,158.85886111421715,208.50128749149007,184.75818221262745,184.75818221262745,-0.7246710724250465,-0.7246710724250465,-0.7246710724250465,-0.7246710724250465,-0.7246710724250465,-0.7246710724250465,0.0,0.0,0.0,184.0335111402024
6,2023-03-01,184.82821224767252,158.71468514176098,207.04627117263314,184.82821224767252,184.82821224767252,-1.6802832519878563,-1.6802832519878563,-1.6802832519878563,-1.6802832519878563,-1.6802832519878563,-1.6802832519878563,0.0,0.0,0.0,183.14792899568468
7,2023-03-02,184.89824228271755,156.15276746064126,205.9192113333652,184.89824228271755,184.89824228271755,-3.3399515940477507,-3.3399515940477507,-3.3399515940477507,-3.3399515940477507,-3.3399515940477507,-3.3399515940477507,0.0,0.0,0.0,181.55829068866979
8,2023-03-03,184.96827231776265,158.8622152439046,205.5979444285955,184.96827231776265,184.96827231776265,-3.1402132779283796,-3.1402132779283796,-3.1402132779283796,-3.1402132779283796,-3.1402132779283796,-3.1402132779283796,0.0,0.0,0.0,181.82805903983427
9,2023-03-06,185.1783624189172,159.78954649751063,204.5800815666562,185.1783624189172,185.1783624189172,-3.558934146815424,-3.558934146815424,-3.558934146815424,-3.558934146815424,-3.558934146815424,-3.558934146815424,0.0,0.0,0.0,181.61942827210177
10,2023-03-07,185.24839245263544,161.93568889364866,208.18963411994525,185.24839245263544,185.24839245263544,-0.7246710724236181,-0.7246710724236181,-0.7246710724236181,-0.7246710724236181,-0.7246710724236181,-0.7246710724236181,0.0,0.0,0.0,184.52372138021184
11,2023-03-08,185.31842248635363,162.3693346158002,206.9343914348873,185.31842248635363,185.31842248635363,-1.680283251985464,-1.680283251985464,-1.680283251985464,-1.680283251985464,-1.680283251985464,-1.680283251985464,0.0,0.0,0.0,183.63813923436817
